n      ;F_V1   ;F_V2   ;F_V3   ;FV4    
  0;  0.000002445;  0.000000000;  0.000000000;  0.000000000
  1;  0.000001638;  0.000001484;  0.000001712;  0.000032245
  2;  0.000001671;  0.000001611;  0.000001832;  0.000011124
  3;  0.000001805;  0.000001735;  0.000001702;  0.000002214
  4;  0.000001803;  0.000001773;  0.000001829;  0.000001693
  5;  0.000002095;  0.000001762;  0.000001760;  0.000001977
  6;  0.000001720;  0.000001698;  0.000001712;  0.000002408
  7;  0.000002174;  0.000001353;  0.000001709;  0.000001995
  8;  0.000002168;  0.000001330;  0.000001700;  0.000001927
  9;  0.000001861;  0.000001473;  0.000001391;  0.000001645
 10;  0.000002143;  0.000001396;  0.000001415;  0.000001569
 11;  0.000002460;  0.000001366;  0.000001372;  0.000001593
 12;  0.000003056;  0.000001361;  0.000001401;  0.000001582
 13;  0.000004147;  0.000001351;  0.000001412;  0.000001575
 14;  0.000005867;  0.000001400;  0.000001379;  0.000001621
 15;  0.000008528;  0.000001347;  0.000001371;  0.000001572
 16;  0.000013087;  0.000001367;  0.000001422;  0.000001885
 17;  0.000022816;  0.000001344;  0.000001389;  0.000001867
 18;  0.000031841;  0.000001409;  0.000001410;  0.000001650
 19;  0.000050653;  0.000001344;  0.000001428;  0.000001594
 20;  0.000080980;  0.000001349;  0.000001410;  0.000001593
 21;  0.000130234;  0.000001341;  0.000001390;  0.000001587
 22;  0.000209602;  0.000001361;  0.000001397;  0.000001645
 23;  0.000363360;  0.000001360;  0.000001400;  0.000001713
 24;  0.000546939;  0.000001388;  0.000001436;  0.000001717
 25;  0.000327373;  0.000000472;  0.000000504;  0.000000640
 26;  0.000511910;  0.000000462;  0.000000485;  0.000000700
 27;  0.000792692;  0.000000447;  0.000000472;  0.000019017
 28;  0.001302728;  0.000000455;  0.000000466;  0.000000673
 29;  0.002075899;  0.000000504;  0.000000500;  0.000000831
 30;  0.002975174;  0.000000433;  0.000000449;  0.000000575
 31;  0.005109192;  0.000000432;  0.000000426;  0.000000572
 32;  0.007574834;  0.000000575;  0.000000482;  0.000000899
 33;  0.012839941;  0.000000595;  0.000000493;  0.000014192
 34;  0.020261558;  0.000000571;  0.000000508;  0.000001226
 35;  0.034476827;  0.000000591;  0.000000624;  0.000000975
 36;  0.049214744;  0.000000540;  0.000000446;  0.000000983
 37;  0.084575483;  0.000000504;  0.000000368;  0.000000760
 38;  0.126138548;  0.000000454;  0.000000391;  0.000000776
 39;  0.230412029;  0.000000546;  0.000000505;  0.000019826
 40;  0.323684069;  0.000000516;  0.000000424;  0.000019508
 41;  0.514298191;  0.000000521;  0.000000417;  0.000000957
 42;  0.882484727;  0.000000591;  0.000000488;  0.000020039
 43;  1.444722957;  0.000000513;  0.000000421;  0.000001279
 44;  2.287816380;  0.000000604;  0.000000537;  0.000001602
 45;  3.484459217;  0.000000517;  0.000018793;  0.000001536
