n      ;F1     ;F2     ;F3     ;F4     ;F5     ;F6     
10000;  0.000058269;  0.082739531;  0.152220362;  0.000043849;  0.077673860;  0.125935704 
20000;  0.000048975;  0.302848146;  0.600428324;  0.000117445;  0.300329159;  0.506267337 
30000;  0.000094123;  0.686424776;  1.342401897;  0.000143455;  0.675313896;  1.123601068 
40000;  0.000113623;  1.190908095;  2.381446112;  0.000168629;  1.193908157;  1.987930793 
50000;  0.000128338;  1.866728692;  3.734467272;  0.000195773;  1.877895563;  3.117021317 
60000;  0.000159919;  2.678194932;  5.394234038;  0.000233653;  2.702975057;  4.474775231 
70000;  0.000172521;  3.649762415;  7.340330731;  0.000276145;  3.656423995;  6.112677832 
80000;  0.000152810;  4.750362086;  9.572066821;  0.000226360;  4.760866083;  7.982126963 
90000;  0.000213816;  6.033660758; 12.049520391;  0.000271423;  6.050289279; 10.113846917 
100000;  0.000229879;  7.458005001;  0.000000000;  0.000329676;  7.451381564; 12.457977676 
